id,longitude,latitude
110,-122.25,37.82
111,-122.25,37.82
112,-122.25,37.82
113,-122.25,37.82
114,-122.25,37.83
115,-122.25,37.83
116,-122.25,37.83
117,-122.25,37.83
118,-122.25,37.83
119,-122.23,37.84
120,-122.23,37.84
121,-122.24,37.83
122,-122.24,37.85
123,-122.23,37.85
124,-122.24,37.84
125,-122.24,37.85
126,-122.22,37.85
127,-122.22,37.84
128,-122.21,37.84
129,-122.21,37.83
130,-122.2,37.84
131,-122.21,37.84
132,-122.19,37.84
133,-122.2,37.84
134,-122.21,37.83
135,-122.19,37.83
136,-122.2,37.83
137,-122.19,37.83
138,-122.19,37.82
139,-122.2,37.82
140,-122.2,37.82
141,-122.18,37.81
142,-122.21,37.82
143,-122.2,37.81
144,-122.21,37.8
145,-122.21,37.8
146,-122.21,37.81
147,-122.22,37.81
148,-122.22,37.8
149,-122.22,37.8
150,-122.22,37.8
151,-122.22,37.81
152,-122.22,37.81
153,-122.23,37.8
154,-122.23,37.81
155,-122.22,37.81
156,-122.23,37.81
157,-122.24,37.81
158,-122.24,37.81
159,-122.23,37.81
160,-122.24,37.81
161,-122.24,37.8
162,-122.25,37.8
163,-122.24,37.81
164,-122.25,37.81
165,-122.25,37.8
166,-122.25,37.8
167,-122.25,37.8
168,-122.25,37.8
169,-122.24,37.79
170,-122.25,37.79
171,-122.25,37.79
172,-122.25,37.79
173,-122.25,37.8
174,-122.25,37.8
175,-122.24,37.8
176,-122.24,37.8
177,-122.24,37.8
178,-122.24,37.8
179,-122.23,37.8
180,-122.24,37.8
181,-122.24,37.8
182,-122.23,37.8
183,-122.23,37.8
184,-122.23,37.8
185,-122.23,37.8
186,-122.23,37.79
187,-122.23,37.79
188,-122.23,37.79
189,-122.24,37.79
190,-122.24,37.79
191,-122.24,37.79
192,-122.24,37.79
193,-122.25,37.79
194,-122.25,37.79
195,-122.25,37.79
196,-122.26,37.8
197,-122.22,37.77
198,-122.22,37.77
199,-122.23,37.77
200,-122.23,37.78
201,-122.23,37.78
202,-122.22,37.78
203,-122.23,37.78
204,-122.23,37.78
205,-122.23,37.78
206,-122.23,37.79
207,-122.23,37.79
208,-122.22,37.79
209,-122.23,37.79
210,-122.23,37.79
211,-122.22,37.79
212,-122.22,37.79
213,-122.21,37.79
214,-122.22,37.79
215,-122.22,37.79
216,-122.22,37.79
217,-122.2,37.79
218,-122.21,37.79
219,-122.21,37.79
220,-122.21,37.79
221,-122.21,37.8
222,-122.21,37.8
223,-122.2,37.8
224,-122.2,37.8
225,-122.21,37.8
226,-122.2,37.8
227,-122.21,37.8
228,-122.19,37.8
229,-122.19,37.8
230,-122.19,37.79
231,-122.2,37.79
232,-122.2,37.8
233,-122.19,37.8
234,-122.19,37.79
235,-122.19,37.79
236,-122.2,37.79
237,-122.2,37.79
238,-122.2,37.79
239,-122.21,37.79
240,-122.2,37.79
241,-122.21,37.78
242,-122.21,37.78
243,-122.21,37.78
244,-122.21,37.78
245,-122.22,37.78
246,-122.21,37.78
247,-122.21,37.78
248,-122.22,37.77
249,-122.22,37.78
250,-122.22,37.78
251,-122.22,37.78
252,-122.21,37.76
253,-122.21,37.77
254,-122.21,37.77
255,-122.2,37.77
256,-122.21,37.77
257,-122.21,37.77
258,-122.19,37.77
259,-122.2,37.77
260,-122.2,37.77
261,-122.2,37.78
262,-122.2,37.78
263,-122.2,37.78
264,-122.2,37.77
265,-122.21,37.78
266,-122.19,37.78
267,-122.19,37.77
268,-122.19,37.77
269,-122.19,37.78
270,-122.19,37.78
271,-122.18,37.78
272,-122.19,37.78
273,-122.19,37.78
274,-122.2,37.78
275,-122.18,37.79
276,-122.18,37.79
277,-122.18,37.79
278,-122.19,37.79
279,-122.19,37.79
280,-122.18,37.81
281,-122.18,37.8
282,-122.18,37.8
283,-122.13,37.77
284,-122.16,37.79
285,-122.17,37.78
286,-122.17,37.77
287,-122.18,37.78
288,-122.18,37.78
289,-122.17,37.78
290,-122.17,37.78
291,-122.16,37.77
292,-122.16,37.77
293,-122.16,37.77
294,-122.16,37.77
295,-122.17,37.77
296,-122.17,37.77
297,-122.17,37.76
298,-122.17,37.76
299,-122.18,37.76
300,-122.17,37.76
301,-122.18,37.76
302,-122.18,37.76
303,-122.18,37.76
304,-122.18,37.77
305,-122.18,37.77
306,-122.18,37.76
307,-122.19,37.76
308,-122.18,37.77
309,-122.18,37.77
310,-122.18,37.77
311,-122.19,37.76
312,-122.2,37.76
313,-122.19,37.77
314,-122.19,37.77
315,-122.19,37.76
316,-122.19,37.76
317,-122.2,37.75
318,-122.2,37.76
319,-122.19,37.76
320,-122.19,37.75
321,-122.19,37.75
322,-122.19,37.76
323,-122.19,37.74
324,-122.18,37.74
325,-122.19,37.73
326,-122.19,37.74
327,-122.19,37.73
328,-122.18,37.73
329,-122.18,37.73
330,-122.18,37.73
331,-122.18,37.73
332,-122.17,37.74
333,-122.17,37.74
334,-122.17,37.74
335,-122.17,37.73
336,-122.18,37.74
337,-122.17,37.74
338,-122.17,37.74
339,-122.18,37.74
340,-122.18,37.75
341,-122.18,37.75
342,-122.17,37.75
343,-122.18,37.75
344,-122.19,37.75
345,-122.18,37.75
346,-122.18,37.75
347,-122.17,37.76
348,-122.17,37.75
349,-122.17,37.75
350,-122.17,37.75
351,-122.17,37.75
352,-122.16,37.76
353,-122.16,37.75
354,-122.17,37.75
355,-122.17,37.76
356,-122.16,37.76
357,-122.16,37.76
358,-122.15,37.76
359,-122.14,37.77
360,-122.14,37.76
361,-122.13,37.76
362,-122.12,37.75
363,-122.12,37.75
364,-122.14,37.75
365,-122.14,37.75
366,-122.13,37.75
367,-122.13,37.75
368,-122.13,37.74
369,-122.16,37.75
370,-122.15,37.75
371,-122.15,37.75
372,-122.15,37.74
373,-122.16,37.75
374,-122.16,37.75
375,-122.15,37.74
376,-122.15,37.74
377,-122.16,37.75
378,-122.16,37.75
379,-122.17,37.74
380,-122.17,37.75
381,-122.16,37.74
382,-122.16,37.74
383,-122.16,37.74
384,-122.16,37.74
385,-122.16,37.74
386,-122.29,37.9
387,-122.29,37.9
388,-122.29,37.89
389,-122.3,37.9
390,-122.29,37.89
391,-122.3,37.89
392,-122.3,37.9
393,-122.3,37.89
394,-122.3,37.89
395,-122.33,37.89
396,-122.34,37.88
397,-122.29,37.89
398,-122.29,37.88
399,-122.29,37.89
400,-122.29,37.89
401,-122.28,37.88
402,-122.29,37.89
403,-122.27,37.9
404,-122.26,37.9
405,-122.27,37.9
406,-122.27,37.9
407,-122.27,37.9
408,-122.27,37.89
409,-122.28,37.9
410,-122.28,37.9
411,-122.28,37.9
412,-122.28,37.89
413,-122.28,37.89
414,-122.28,37.89
415,-122.28,37.89
416,-122.27,37.89
417,-122.27,37.89
418,-122.26,37.9
419,-122.25,37.89
420,-122.26,37.89
421,-122.26,37.89
422,-122.25,37.89
423,-122.25,37.89
424,-122.26,37.88
425,-122.26,37.88
426,-122.27,37.88
427,-122.27,37.88
428,-122.27,37.88
429,-122.28,37.88
430,-122.28,37.88
431,-122.28,37.88
432,-122.29,37.88
433,-122.29,37.88
434,-122.29,37.88
435,-122.29,37.88
436,-122.3,37.88
437,-122.3,37.88
438,-122.3,37.87
439,-122.3,37.86
440,-122.29,37.85
441,-122.3,37.88
442,-122.3,37.87
443,-122.28,37.88
444,-122.28,37.87
445,-122.28,37.87
446,-122.29,37.87
447,-122.29,37.87
448,-122.28,37.88
449,-122.28,37.87
450,-122.28,37.87
451,-122.27,37.88
452,-122.27,37.87
453,-122.27,37.88
454,-122.26,37.88
455,-122.26,37.88
456,-122.26,37.88
457,-122.25,37.87
458,-122.25,37.87
459,-122.25,37.87
460,-122.25,37.87
461,-122.26,37.87
462,-122.26,37.87
463,-122.27,37.87
464,-122.27,37.87
465,-122.27,37.87
466,-122.28,37.86
467,-122.28,37.87
468,-122.28,37.87
469,-122.29,37.87
470,-122.29,37.87
471,-122.29,37.86
472,-122.28,37.86
473,-122.29,37.87
474,-122.29,37.86
475,-122.28,37.86
476,-122.28,37.86
477,-122.28,37.85
478,-122.27,37.86
479,-122.28,37.86
480,-122.28,37.86
481,-122.28,37.86
482,-122.27,37.86
483,-122.27,37.86
484,-122.27,37.86
485,-122.27,37.86
486,-122.26,37.86
487,-122.26,37.86
488,-122.26,37.86
489,-122.26,37.86
490,-122.25,37.86
491,-122.25,37.86
492,-122.25,37.86
493,-122.25,37.86
494,-122.24,37.86
495,-122.24,37.85
496,-122.25,37.86
497,-122.26,37.85
498,-122.27,37.85
499,-122.27,37.85
500,-122.27,37.85
501,-122.27,37.85
502,-122.27,37.85
503,-122.27,37.85
504,-122.28,37.85
505,-122.28,37.85
506,-122.28,37.85
507,-122.29,37.84
508,-122.28,37.83
509,-122.3,37.84
510,-122.23,37.83
511,-122.22,37.82
512,-122.22,37.82
513,-122.23,37.82
514,-122.23,37.82
515,-122.23,37.82
516,-122.24,37.83
517,-122.24,37.83
518,-122.23,37.82
519,-122.24,37.82
520,-122.25,37.82
521,-122.23,37.76
522,-122.23,37.76
523,-122.23,37.76
524,-122.24,37.77
525,-122.23,37.77
526,-122.24,37.77
527,-122.25,37.77
528,-122.25,37.77
529,-122.25,37.77
530,-122.25,37.77
531,-122.26,37.78
532,-122.26,37.78
533,-122.27,37.78
534,-122.27,37.78
535,-122.27,37.78
536,-122.27,37.78
537,-122.28,37.79
538,-122.3,37.77
539,-122.28,37.78
540,-122.29,37.78
541,-122.28,37.77
542,-122.28,37.77
543,-122.29,37.76
544,-122.28,37.78
545,-122.26,37.77
546,-122.27,37.77
547,-122.27,37.77
548,-122.27,37.77
549,-122.27,37.77
550,-122.25,37.77
551,-122.26,37.77
552,-122.26,37.77
553,-122.26,37.77
554,-122.26,37.77
555,-122.26,37.77
556,-122.24,37.77
557,-122.25,37.77
558,-122.23,37.76
559,-122.23,37.76
560,-122.24,37.76
561,-122.24,37.76
562,-122.23,37.76
563,-122.23,37.75
564,-122.24,37.75
565,-122.24,37.75
566,-122.24,37.76
567,-122.24,37.76
568,-122.24,37.76
569,-122.24,37.73
570,-122.25,37.74
571,-122.24,37.72
572,-122.27,37.73
573,-122.25,37.76
574,-122.27,37.74
575,-122.27,37.77
576,-122.28,37.75
577,-122.06,37.77
578,-122.06,37.73
579,-122.06,37.71
580,-122.07,37.71
581,-122.07,37.71
582,-122.07,37.72
583,-122.08,37.72
584,-122.08,37.72
585,-122.08,37.71
586,-122.09,37.71
587,-122.1,37.72
588,-122.11,37.71
589,-122.1,37.7
590,-122.1,37.69
591,-122.09,37.71
592,-122.09,37.7
593,-122.1,37.71
594,-122.09,37.7
595,-122.08,37.71
596,-122.08,37.71
597,-122.08,37.7
598,-122.07,37.7
599,-122.06,37.7
600,-122.06,37.7
601,-122.07,37.7
602,-122.08,37.7
603,-122.09,37.7
604,-122.07,37.69
605,-122.08,37.69
606,-122.07,37.69
607,-122.08,37.69
608,-122.08,37.69
609,-122.08,37.68
610,-122.08,37.68
611,-122.09,37.69
612,-122.15,37.74
613,-122.14,37.74
614,-122.14,37.73
615,-122.15,37.74
616,-122.16,37.73
617,-122.15,37.74
618,-122.15,37.73
619,-122.15,37.73
620,-122.17,37.73
621,-122.16,37.73
622,-122.17,37.73
623,-122.16,37.73
624,-122.18,37.72
625,-122.18,37.71
626,-122.17,37.71
627,-122.18,37.7
628,-122.18,37.7
629,-122.19,37.71
630,-122.17,37.72
631,-122.17,37.72
632,-122.17,37.72
633,-122.16,37.72
634,-122.17,37.72
635,-122.16,37.71
636,-122.16,37.71
637,-122.16,37.72
638,-122.15,37.73
639,-122.15,37.72
640,-122.15,37.72
641,-122.15,37.72
642,-122.14,37.73
643,-122.14,37.73
644,-122.14,37.73
645,-122.13,37.73
646,-122.13,37.72
647,-122.13,37.72
648,-122.12,37.71
649,-122.13,37.72
650,-122.14,37.72
651,-122.14,37.72
652,-122.13,37.72
653,-122.13,37.71
654,-122.13,37.71
655,-122.15,37.71
656,-122.14,37.71
657,-122.14,37.71
658,-122.13,37.7
659,-122.13,37.7
660,-122.15,37.71
661,-122.15,37.7
662,-122.14,37.7
663,-122.13,37.7
664,-122.13,37.69
665,-122.14,37.7
666,-122.16,37.7
667,-122.14,37.69
668,-122.15,37.69
669,-122.15,37.69
670,-122.15,37.7
671,-122.16,37.69
672,-122.16,37.7
673,-122.16,37.7
674,-122.17,37.7
675,-122.16,37.68
676,-122.17,37.69
677,-122.18,37.68
678,-122.16,37.69
679,-122.15,37.69
680,-122.15,37.68
681,-122.15,37.68
682,-122.15,37.69
683,-122.14,37.69
684,-122.14,37.68
685,-122.14,37.68
686,-122.1,37.69
687,-122.12,37.69
688,-122.13,37.69
689,-122.12,37.71
690,-122.12,37.7
691,-122.12,37.7
692,-122.12,37.69
693,-122.12,37.7
694,-122.11,37.7
695,-122.11,37.7
696,-122.11,37.7
697,-122.1,37.69
698,-122.11,37.69
699,-122.11,37.69
700,-122.12,37.69
701,-122.03,37.69
702,-121.97,37.64
703,-122.02,37.63
704,-122.04,37.63
705,-122.05,37.63
706,-122.04,37.66
707,-122.04,37.65
708,-122.05,37.68
709,-122.07,37.68
710,-122.06,37.68
711,-122.08,37.68
712,-122.08,37.68
713,-122.08,37.67
714,-122.09,37.67
715,-122.09,37.68
716,-122.09,37.69
717,-122.09,37.68
718,-122.09,37.68
719,-122.09,37.68
720,-122.1,37.68
721,-122.1,37.68
722,-122.11,37.68
723,-122.1,37.68
724,-122.1,37.67
725,-122.1,37.68
726,-122.12,37.68
727,-122.12,37.68
728,-122.12,37.68
729,-122.11,37.67
730,-122.12,37.68
731,-122.13,37.68
732,-122.13,37.68
733,-122.13,37.68
734,-122.14,37.68
735,-122.14,37.67
736,-122.15,37.67
737,-122.14,37.67
738,-122.13,37.67
739,-122.14,37.67
740,-122.14,37.67
741,-122.13,37.67
742,-122.12,37.67
743,-122.13,37.67
744,-122.11,37.67
745,-122.11,37.67
746,-122.09,37.67
747,-122.09,37.67
748,-122.09,37.66
749,-122.09,37.66
750,-122.05,37.68
751,-122.06,37.67
752,-122.07,37.67
753,-122.07,37.67
754,-122.07,37.67
755,-122.04,37.67
756,-122.04,37.67
757,-122.04,37.66
758,-122.07,37.66
759,-122.07,37.66
760,-122.08,37.66
761,-122.07,37.65
762,-122.08,37.65
763,-122.08,37.65
764,-122.08,37.66
765,-122.1,37.66
766,-122.1,37.66
767,-122.1,37.66
768,-122.09,37.65
769,-122.09,37.65
770,-122.09,37.65
771,-122.1,37.66
772,-122.11,37.66
773,-122.1,37.66
774,-122.11,37.66
775,-122.11,37.66
776,-122.1,37.65
777,-122.1,37.64
778,-122.1,37.65
779,-122.1,37.65
780,-122.12,37.65
781,-122.1,37.63
782,-122.1,37.61
783,-122.13,37.66
784,-122.11,37.65
785,-122.11,37.64
786,-122.11,37.64
787,-122.12,37.64
788,-122.09,37.63
789,-122.09,37.64
790,-122.1,37.63
791,-122.08,37.64
792,-122.08,37.64
793,-122.09,37.64
794,-122.09,37.64
795,-122.08,37.64
796,-122.08,37.64
797,-122.08,37.63
798,-122.08,37.63
799,-122.08,37.64
800,-122.07,37.64
801,-122.07,37.63
802,-122.07,37.64
803,-122.06,37.64
804,-122.06,37.64
805,-122.06,37.65
806,-122.06,37.64
807,-122.04,37.63
808,-122.03,37.62
809,-122.03,37.62
810,-122.04,37.62
811,-122.04,37.62
812,-122.04,37.62
813,-122.03,37.62
814,-122.03,37.61
815,-122.03,37.61
816,-122.04,37.61
817,-122.04,37.62
818,-122.08,37.63
819,-122.08,37.62
820,-122.07,37.63
821,-122.07,37.63
822,-122.06,37.63
823,-122.06,37.63
824,-122.05,37.61
825,-122.08,37.63
826,-122.08,37.63
827,-122.09,37.63
828,-122.09,37.63
829,-122.08,37.62
830,-122.08,37.61
831,-121.99,37.61
832,-122.02,37.6
833,-122.02,37.6
834,-122.02,37.6
835,-122.02,37.6
836,-122.03,37.61
837,-122.04,37.6
838,-122.06,37.6
839,-122.08,37.61
840,-122.06,37.6
841,-122.06,37.6
842,-122.08,37.59
843,-122.07,37.59
844,-122.08,37.58
845,-122.07,37.58
846,-122.07,37.58
847,-122.08,37.58
848,-122.07,37.59
849,-122.07,37.58
850,-122.04,37.59
851,-122.05,37.59
852,-122.03,37.6
853,-122.02,37.59
854,-122.03,37.59
855,-122.01,37.59
856,-122.02,37.58
857,-122.01,37.58
858,-122.09,37.6
859,-122.08,37.6
860,-121.97,37.57
861,-121.96,37.58
862,-121.98,37.58
863,-121.99,37.58
864,-122.0,37.58
865,-122.01,37.57
866,-122.04,37.58
867,-122.04,37.57
868,-122.07,37.57
869,-122.06,37.58
870,-122.05,37.57
871,-121.93,37.49
872,-122.07,37.52
873,-122.02,37.56
874,-122.02,37.56
875,-122.03,37.56
876,-122.03,37.56
877,-122.01,37.56
878,-122.01,37.55
879,-122.02,37.55
880,-122.01,37.56
881,-121.99,37.56
882,-121.99,37.56
883,-121.96,37.55
884,-121.97,37.56
885,-121.97,37.54
886,-121.97,37.55
887,-121.98,37.54
888,-121.99,37.55
889,-121.94,37.56
890,-121.95,37.55
891,-121.93,37.54
892,-121.94,37.54
893,-121.94,37.53
894,-121.95,37.54
895,-121.94,37.54
896,-121.96,37.54
897,-121.96,37.53
898,-121.96,37.53
899,-121.96,37.53
900,-121.97,37.54
901,-121.97,37.53
902,-121.97,37.53
903,-121.98,37.53
904,-121.98,37.53
905,-121.99,37.54
906,-121.99,37.54
907,-121.99,37.54
908,-121.99,37.55
909,-122.0,37.54
910,-122.01,37.55
911,-122.0,37.55
912,-122.01,37.54
913,-122.0,37.54
914,-122.01,37.53
915,-121.99,37.53
916,-121.97,37.52
917,-121.97,37.51
918,-121.97,37.52
919,-121.95,37.52
920,-121.96,37.51
921,-121.96,37.52
922,-121.93,37.53
923,-121.92,37.53
924,-121.89,37.49
925,-121.92,37.49
926,-121.92,37.48
927,-121.92,37.47
928,-121.91,37.47
929,-122.03,37.55
930,-122.03,37.55
931,-122.04,37.55
932,-122.04,37.54
933,-122.05,37.54
934,-122.05,37.55
935,-122.04,37.53
936,-122.04,37.5
937,-122.06,37.54
938,-122.03,37.54
939,-122.03,37.54
940,-122.04,37.53
941,-122.02,37.54
942,-122.03,37.54
943,-122.03,37.53
944,-122.01,37.53
945,-122.02,37.53
946,-122.0,37.51
947,-121.92,37.72
948,-121.92,37.72
949,-121.91,37.71
950,-121.93,37.72
951,-121.93,37.72
952,-121.93,37.71
953,-121.94,37.71
954,-121.96,37.71
955,-121.92,37.64
956,-121.93,37.66
957,-121.92,37.69
958,-121.9,37.66
959,-121.92,37.68
960,-121.93,37.7
961,-121.91,37.69
962,-121.91,37.68
963,-121.91,37.68
964,-121.91,37.69
965,-121.89,37.68
966,-121.88,37.68
967,-121.89,37.68
968,-121.88,37.67
969,-121.88,37.67
970,-121.89,37.67
971,-121.89,37.67
972,-121.9,37.67
973,-121.9,37.67
974,-121.88,37.66
975,-121.87,37.66
976,-121.87,37.66
977,-121.89,37.66
978,-121.88,37.64
979,-121.87,37.57
980,-121.87,37.67
981,-121.87,37.67
982,-121.85,37.68
983,-121.85,37.66
984,-121.86,37.66
985,-121.87,37.66
986,-121.84,37.66
987,-121.85,37.72
988,-121.82,37.73
989,-121.86,37.7
990,-121.89,37.69
991,-121.77,37.65
992,-121.62,37.61
993,-121.61,37.77
994,-121.72,37.7
995,-121.73,37.71
996,-121.75,37.71
997,-121.77,37.74
998,-121.8,37.7
999,-121.8,37.69
1000,-121.82,37.69
1001,-121.76,37.69
1002,-121.77,37.68
1003,-121.78,37.69
1004,-121.78,37.69
1005,-121.79,37.69
1006,-121.76,37.7
1007,-121.75,37.69
1008,-121.75,37.68
1009,-121.76,37.68
1010,-121.76,37.68
1011,-121.73,37.68
1012,-121.78,37.68
1013,-121.77,37.68
1014,-121.76,37.68
1015,-121.77,37.68
1016,-121.77,37.67
1017,-121.76,37.67
1018,-121.78,37.67
1019,-121.79,37.67
1020,-121.78,37.67
1021,-121.78,37.66
1022,-121.79,37.66
1023,-119.78,38.69
1024,-119.93,38.72
1025,-120.0,38.52
1026,-120.56,38.48
1027,-120.59,38.45
1028,-120.55,38.46
1029,-120.55,38.45
1030,-120.55,38.43
1031,-120.25,38.55
1032,-120.79,38.54
1033,-120.8,38.51
1034,-120.65,38.5
1035,-120.76,38.47
1036,-120.88,38.45
1037,-120.79,38.43
1038,-120.69,38.44
1039,-120.93,38.5
1040,-120.97,38.42
1041,-120.87,38.37
1042,-120.98,38.34
1043,-120.88,38.32
1044,-120.93,38.26
1045,-120.72,38.42
1046,-120.77,38.38
1047,-120.72,38.38
1048,-120.66,38.4
1049,-120.65,38.42
1050,-120.62,38.39
1051,-120.69,38.36
1052,-120.71,38.34
1053,-120.8,38.31
1054,-121.83,39.76
1055,-121.82,39.76
1056,-121.86,39.78
1057,-121.85,39.77
1058,-121.84,39.76
1059,-121.86,39.76
1060,-121.89,39.76
1061,-121.88,39.74
1062,-121.87,39.75
1063,-121.86,39.75
1064,-121.87,39.74
1065,-121.85,39.75
1066,-121.85,39.74
1067,-121.85,39.74
1068,-121.85,39.73
1069,-121.85,39.73
1070,-121.86,39.74
1071,-121.84,39.75
1072,-121.84,39.74
1073,-121.83,39.74
1074,-121.8,39.75
1075,-121.82,39.75
1076,-121.82,39.75
1077,-121.8,39.75
1078,-121.79,39.73
1079,-121.78,39.71
1080,-121.82,39.73
1081,-121.84,39.73
1082,-121.84,39.73
1083,-121.84,39.73
1084,-121.84,39.72
1085,-121.84,39.73
1086,-121.83,39.73
1087,-121.85,39.72
1088,-121.83,39.72
1089,-121.81,39.7
1090,-121.82,39.73
1091,-121.82,39.72
1092,-121.81,39.71
1093,-121.87,39.82
1094,-121.89,39.71
1095,-121.97,39.79
1096,-121.84,39.68
1097,-121.8,39.64
1098,-121.77,39.66
1099,-121.74,39.59
1100,-121.9,39.59
1101,-121.75,39.88
1102,-121.68,39.82
1103,-121.54,40.06
1104,-121.51,39.97
1105,-121.59,39.86
1106,-121.58,39.83
1107,-121.6,39.8
1108,-121.62,39.79
1109,-121.59,39.82
1110,-121.6,39.83
1111,-121.63,39.82
1112,-121.6,39.79
1113,-121.59,39.79
1114,-121.59,39.78
1115,-121.59,39.78
1116,-121.6,39.77
1117,-121.61,39.77
1118,-121.63,39.78
1119,-121.57,39.8
1120,-121.57,39.78
1121,-121.59,39.77
1122,-121.58,39.79
1123,-121.57,39.76
1124,-121.58,39.76
1125,-121.58,39.76
1126,-121.59,39.75
1127,-121.6,39.77
1128,-121.6,39.76
1129,-121.61,39.76
1130,-121.62,39.77
1131,-121.65,39.76
1132,-121.63,39.76
1133,-121.62,39.76
1134,-121.62,39.75
1135,-121.63,39.75
1136,-121.64,39.74
1137,-121.71,39.71
1138,-121.66,39.66
1139,-121.56,39.69
1140,-121.57,39.74
1141,-121.59,39.74
1142,-121.6,39.75
1143,-121.6,39.68
1144,-121.5,39.83
1145,-121.41,39.72
1146,-121.39,39.61
1147,-121.24,39.65
1148,-121.19,39.55
1149,-121.36,39.52
1150,-121.56,39.52
1151,-121.56,39.52
1152,-121.56,39.53
1153,-121.54,39.6
1154,-121.46,39.54
1155,-121.49,39.52
1156,-121.44,39.5
1157,-121.47,39.49
1158,-121.47,39.51
1159,-121.53,39.53
1160,-121.53,39.52
1161,-121.53,39.52
1162,-121.54,39.51
1163,-121.52,39.51
1164,-121.55,39.51
1165,-121.55,39.51
1166,-121.55,39.51
1167,-121.56,39.51
1168,-121.56,39.51
1169,-121.57,39.5
1170,-121.58,39.52
1171,-121.58,39.51
1172,-121.58,39.5
1173,-121.62,39.5
1174,-121.61,39.52
1175,-121.65,39.53
1176,-121.57,39.48
1177,-121.55,39.5
1178,-121.54,39.5
1179,-121.53,39.49
1180,-121.54,39.48
1181,-121.54,39.47
1182,-121.55,39.48
1183,-121.49,39.49
1184,-121.52,39.5
1185,-121.52,39.49
1186,-121.52,39.48
1187,-121.55,39.45
1188,-121.53,39.44
1189,-121.55,39.44
1190,-121.52,39.43
1191,-121.46,39.4
1192,-121.39,39.39
1193,-121.54,39.33
1194,-121.59,39.39
1195,-121.67,39.37
1196,-121.65,39.35
1197,-121.67,39.34
1198,-121.65,39.32
1199,-121.69,39.36
1200,-121.7,39.37
1201,-121.7,39.36
1202,-121.7,39.36
1203,-121.69,39.36
1204,-121.74,39.38
1205,-121.8,39.33
1206,-121.71,39.42
1207,-121.71,39.41
1208,-121.75,39.4
1209,-121.79,39.48
1210,-120.46,38.15
1211,-120.55,38.12
1212,-120.56,38.09
1213,-120.55,38.07
1214,-120.54,38.07
1215,-120.67,37.97
1216,-120.46,38.09
1217,-120.79,38.24
1218,-120.9,38.2
1219,-120.88,38.16
1220,-120.91,38.11
1221,-120.76,38.12
1222,-120.65,38.28
1223,-120.72,38.24
1224,-120.67,38.19
1225,-120.57,38.2
1226,-120.43,38.25
1227,-120.56,38.39
1228,-120.54,38.41
1229,-120.42,38.42
1230,-120.41,38.33
1231,-120.55,38.31
1232,-120.57,38.35
1233,-120.36,38.21
1234,-120.34,38.23
1235,-120.33,38.26
1236,-120.34,38.25
1237,-120.37,38.23
1238,-120.37,38.25
1239,-120.27,38.29
1240,-120.27,38.31
1241,-120.19,38.42
1242,-121.91,39.03
1243,-122.0,38.99
1244,-122.13,39.0
1245,-121.99,39.15
1246,-122.04,39.22
1247,-122.08,39.25
1248,-122.33,39.1
