ocean_proximity,longitude,latitude
NEAR BAY,-122.18,37.72
NEAR BAY,-122.18,37.71
NEAR BAY,-122.17,37.71
NEAR BAY,-122.18,37.7
NEAR BAY,-122.19,37.71
NEAR BAY,-122.17,37.72
NEAR BAY,-122.16,37.72
NEAR BAY,-122.16,37.71
NEAR BAY,-122.15,37.72
NEAR BAY,-122.13,37.73
NEAR BAY,-122.13,37.72
NEAR BAY,-122.12,37.71
NEAR BAY,-122.14,37.72
NEAR BAY,-122.13,37.71
NEAR BAY,-122.15,37.71
NEAR BAY,-122.14,37.71
NEAR BAY,-122.13,37.7
NEAR BAY,-122.15,37.7
NEAR BAY,-122.14,37.7
NEAR BAY,-122.13,37.69
NEAR BAY,-122.16,37.7
NEAR BAY,-122.14,37.69
NEAR BAY,-122.15,37.69
NEAR BAY,-122.16,37.69
NEAR BAY,-122.17,37.7
NEAR BAY,-122.16,37.68
NEAR BAY,-122.17,37.69
NEAR BAY,-122.18,37.68
NEAR BAY,-122.15,37.68
NEAR BAY,-122.14,37.68
NEAR BAY,-122.12,37.69
NEAR BAY,-122.12,37.7
NEAR BAY,-122.11,37.7
NEAR BAY,-122.11,37.69
NEAR BAY,-122.03,37.69
<1H OCEAN,-121.97,37.64
NEAR BAY,-122.02,37.63
NEAR BAY,-122.04,37.63
NEAR BAY,-122.05,37.63
NEAR BAY,-122.04,37.66
NEAR BAY,-122.04,37.65
NEAR BAY,-122.05,37.68
NEAR BAY,-122.07,37.68
NEAR BAY,-122.06,37.68
NEAR BAY,-122.08,37.67
NEAR BAY,-122.09,37.67
NEAR BAY,-122.09,37.68
NEAR BAY,-122.1,37.68
NEAR BAY,-122.11,37.68
NEAR BAY,-122.1,37.67
NEAR BAY,-122.12,37.68
NEAR BAY,-122.11,37.67
NEAR BAY,-122.13,37.68
NEAR BAY,-122.14,37.67
NEAR BAY,-122.15,37.67
NEAR BAY,-122.13,37.67
NEAR BAY,-122.12,37.67
NEAR BAY,-122.09,37.66
NEAR BAY,-122.06,37.67
NEAR BAY,-122.07,37.67
NEAR BAY,-122.04,37.67
NEAR BAY,-122.07,37.66
NEAR BAY,-122.08,37.66
NEAR BAY,-122.07,37.65
NEAR BAY,-122.08,37.65
NEAR BAY,-122.1,37.66
NEAR BAY,-122.09,37.65
NEAR BAY,-122.11,37.66
NEAR BAY,-122.1,37.65
NEAR BAY,-122.1,37.64
NEAR BAY,-122.12,37.65
NEAR BAY,-122.1,37.63
NEAR BAY,-122.1,37.61
NEAR BAY,-122.13,37.66
NEAR BAY,-122.11,37.65
NEAR BAY,-122.11,37.64
NEAR BAY,-122.12,37.64
NEAR BAY,-122.09,37.63
NEAR BAY,-122.09,37.64
NEAR BAY,-122.08,37.64
NEAR BAY,-122.08,37.63
NEAR BAY,-122.07,37.64
NEAR BAY,-122.07,37.63
NEAR BAY,-122.06,37.64
NEAR BAY,-122.06,37.65
NEAR BAY,-122.03,37.62
NEAR BAY,-122.04,37.62
NEAR BAY,-122.03,37.61
NEAR BAY,-122.04,37.61
NEAR BAY,-122.08,37.62
NEAR BAY,-122.06,37.63
NEAR BAY,-122.05,37.61
NEAR BAY,-122.08,37.61
<1H OCEAN,-121.99,37.61
NEAR BAY,-122.02,37.6
NEAR BAY,-122.04,37.6
NEAR BAY,-122.06,37.6
NEAR BAY,-122.08,37.59
NEAR BAY,-122.07,37.59
NEAR BAY,-122.08,37.58
NEAR BAY,-122.07,37.58
NEAR BAY,-122.04,37.59
NEAR BAY,-122.05,37.59
NEAR BAY,-122.03,37.6
NEAR BAY,-122.02,37.59
NEAR BAY,-122.03,37.59
NEAR BAY,-122.01,37.59
NEAR BAY,-122.02,37.58
NEAR BAY,-122.01,37.58
NEAR BAY,-122.09,37.6
NEAR BAY,-122.08,37.6
<1H OCEAN,-121.97,37.57
<1H OCEAN,-121.96,37.58
<1H OCEAN,-121.98,37.58
<1H OCEAN,-121.99,37.58
<1H OCEAN,-122,37.58
NEAR BAY,-122.01,37.57
NEAR BAY,-122.04,37.58
NEAR BAY,-122.04,37.57
NEAR BAY,-122.07,37.57
NEAR BAY,-122.06,37.58
NEAR BAY,-122.05,37.57
<1H OCEAN,-121.93,37.49
NEAR BAY,-122.07,37.52
NEAR BAY,-122.02,37.56
NEAR BAY,-122.03,37.56
NEAR BAY,-122.01,37.56
NEAR BAY,-122.01,37.55
NEAR BAY,-122.02,37.55
<1H OCEAN,-121.99,37.56
<1H OCEAN,-121.96,37.55
<1H OCEAN,-121.97,37.56
<1H OCEAN,-121.97,37.54
<1H OCEAN,-121.97,37.55
<1H OCEAN,-121.98,37.54
<1H OCEAN,-121.99,37.55
<1H OCEAN,-121.94,37.56
<1H OCEAN,-121.95,37.55
<1H OCEAN,-121.93,37.54
<1H OCEAN,-121.94,37.54
<1H OCEAN,-121.94,37.53
<1H OCEAN,-121.95,37.54
<1H OCEAN,-121.96,37.54
<1H OCEAN,-121.96,37.53
<1H OCEAN,-121.97,37.53
<1H OCEAN,-121.98,37.53
<1H OCEAN,-121.99,37.54
<1H OCEAN,-122,37.54
<1H OCEAN,-122,37.55
NEAR BAY,-122.01,37.54
NEAR BAY,-122.01,37.53
<1H OCEAN,-121.99,37.53
<1H OCEAN,-121.97,37.52
<1H OCEAN,-121.97,37.51
<1H OCEAN,-121.95,37.52
<1H OCEAN,-121.96,37.51
<1H OCEAN,-121.96,37.52
<1H OCEAN,-121.93,37.53
<1H OCEAN,-121.92,37.53
<1H OCEAN,-121.89,37.49
<1H OCEAN,-121.92,37.49
<1H OCEAN,-121.92,37.48
<1H OCEAN,-121.92,37.47
<1H OCEAN,-121.91,37.47
NEAR BAY,-122.03,37.55
NEAR BAY,-122.04,37.55
NEAR BAY,-122.04,37.54
NEAR BAY,-122.05,37.54
NEAR BAY,-122.05,37.55
NEAR BAY,-122.04,37.53
NEAR BAY,-122.04,37.5
NEAR BAY,-122.06,37.54
NEAR BAY,-122.03,37.54
NEAR BAY,-122.02,37.54
NEAR BAY,-122.03,37.53
NEAR BAY,-122.02,37.53
<1H OCEAN,-122,37.51
<1H OCEAN,-121.92,37.72
<1H OCEAN,-121.91,37.71
<1H OCEAN,-121.93,37.72
<1H OCEAN,-121.93,37.71
<1H OCEAN,-121.94,37.71
<1H OCEAN,-121.96,37.71
INLAND,-121.92,37.64
<1H OCEAN,-121.93,37.66
<1H OCEAN,-121.92,37.69
INLAND,-121.9,37.66
<1H OCEAN,-121.92,37.68
<1H OCEAN,-121.93,37.7
<1H OCEAN,-121.91,37.69
<1H OCEAN,-121.91,37.68
<1H OCEAN,-121.89,37.68
INLAND,-121.88,37.68
INLAND,-121.88,37.67
INLAND,-121.89,37.67
<1H OCEAN,-121.9,37.67
INLAND,-121.88,37.66
INLAND,-121.87,37.66
INLAND,-121.89,37.66
INLAND,-121.88,37.64
<1H OCEAN,-121.87,37.57
INLAND,-121.87,37.67
INLAND,-121.85,37.68
INLAND,-121.85,37.66
INLAND,-121.86,37.66
INLAND,-121.84,37.66
INLAND,-121.85,37.72
INLAND,-121.82,37.73
INLAND,-121.86,37.7
<1H OCEAN,-121.89,37.69
INLAND,-121.77,37.65
INLAND,-121.62,37.61
INLAND,-121.61,37.77
INLAND,-121.72,37.7
INLAND,-121.73,37.71
INLAND,-121.75,37.71
INLAND,-121.77,37.74
INLAND,-121.8,37.7
INLAND,-121.8,37.69
INLAND,-121.82,37.69
INLAND,-121.76,37.69
INLAND,-121.77,37.68
INLAND,-121.78,37.69
INLAND,-121.79,37.69
INLAND,-121.76,37.7
INLAND,-121.75,37.69
INLAND,-121.75,37.68
INLAND,-121.76,37.68
INLAND,-121.73,37.68
INLAND,-121.78,37.68
INLAND,-121.77,37.67
INLAND,-121.76,37.67
INLAND,-121.78,37.67
INLAND,-121.79,37.67
INLAND,-121.78,37.66
INLAND,-121.79,37.66
INLAND,-119.78,38.69
INLAND,-119.93,38.72
INLAND,-120,38.52
INLAND,-120.56,38.48
INLAND,-120.59,38.45
INLAND,-120.55,38.46
INLAND,-120.55,38.45
INLAND,-120.55,38.43
INLAND,-120.25,38.55
INLAND,-120.79,38.54
INLAND,-120.8,38.51
INLAND,-120.65,38.5
INLAND,-120.76,38.47
INLAND,-120.88,38.45
INLAND,-120.79,38.43
INLAND,-120.69,38.44
INLAND,-120.93,38.5
INLAND,-120.97,38.42
INLAND,-120.87,38.37
INLAND,-120.98,38.34
INLAND,-120.88,38.32
INLAND,-120.93,38.26
INLAND,-120.72,38.42
INLAND,-120.77,38.38
INLAND,-120.72,38.38
INLAND,-120.66,38.4
INLAND,-120.65,38.42
INLAND,-120.62,38.39
INLAND,-120.69,38.36
INLAND,-120.71,38.34
INLAND,-120.8,38.31
INLAND,-121.83,39.76
INLAND,-121.82,39.76
INLAND,-121.86,39.78
INLAND,-121.85,39.77
INLAND,-121.84,39.76
INLAND,-121.86,39.76
INLAND,-121.89,39.76
INLAND,-121.88,39.74
INLAND,-121.87,39.75
INLAND,-121.86,39.75
INLAND,-121.87,39.74
INLAND,-121.85,39.75
INLAND,-121.85,39.74
INLAND,-121.85,39.73
INLAND,-121.86,39.74
INLAND,-121.84,39.75
INLAND,-121.84,39.74
INLAND,-121.83,39.74
INLAND,-121.8,39.75
INLAND,-121.82,39.75
INLAND,-121.79,39.73
INLAND,-121.78,39.71
INLAND,-121.82,39.73
INLAND,-121.84,39.73
INLAND,-121.84,39.72
INLAND,-121.83,39.73
INLAND,-121.85,39.72
INLAND,-121.83,39.72
INLAND,-121.81,39.7
INLAND,-121.82,39.72
INLAND,-121.81,39.71
INLAND,-121.87,39.82
INLAND,-121.89,39.71
INLAND,-121.97,39.79
INLAND,-121.84,39.68
INLAND,-121.8,39.64
INLAND,-121.77,39.66
INLAND,-121.74,39.59
INLAND,-121.9,39.59
INLAND,-121.75,39.88
INLAND,-121.68,39.82
INLAND,-121.54,40.06
INLAND,-121.51,39.97
INLAND,-121.59,39.86
INLAND,-121.58,39.83
INLAND,-121.6,39.8
INLAND,-121.62,39.79
INLAND,-121.59,39.82
INLAND,-121.6,39.83
INLAND,-121.63,39.82
INLAND,-121.6,39.79
INLAND,-121.59,39.79
INLAND,-121.59,39.78
INLAND,-121.6,39.77
INLAND,-121.61,39.77
INLAND,-121.63,39.78
INLAND,-121.57,39.8
INLAND,-121.57,39.78
INLAND,-121.59,39.77
INLAND,-121.58,39.79
INLAND,-121.57,39.76
INLAND,-121.58,39.76
INLAND,-121.59,39.75
INLAND,-121.6,39.76
INLAND,-121.61,39.76
INLAND,-121.62,39.77
INLAND,-121.65,39.76
INLAND,-121.63,39.76
INLAND,-121.62,39.76
INLAND,-121.62,39.75
INLAND,-121.63,39.75
INLAND,-121.64,39.74
INLAND,-121.71,39.71
INLAND,-121.66,39.66
INLAND,-121.56,39.69
INLAND,-121.57,39.74
INLAND,-121.59,39.74
INLAND,-121.6,39.75
INLAND,-121.6,39.68
INLAND,-121.5,39.83
INLAND,-121.41,39.72
INLAND,-121.39,39.61
INLAND,-121.24,39.65
INLAND,-121.19,39.55
INLAND,-121.36,39.52
INLAND,-121.56,39.52
INLAND,-121.56,39.53
INLAND,-121.54,39.6
INLAND,-121.46,39.54
INLAND,-121.49,39.52
INLAND,-121.44,39.5
INLAND,-121.47,39.49
INLAND,-121.47,39.51
INLAND,-121.53,39.53
INLAND,-121.53,39.52
INLAND,-121.54,39.51
INLAND,-121.52,39.51
INLAND,-121.55,39.51
INLAND,-121.56,39.51
INLAND,-121.57,39.5
INLAND,-121.58,39.52
INLAND,-121.58,39.51
INLAND,-121.58,39.5
INLAND,-121.62,39.5
INLAND,-121.61,39.52
INLAND,-121.65,39.53
INLAND,-121.57,39.48
INLAND,-121.55,39.5
INLAND,-121.54,39.5
INLAND,-121.53,39.49
INLAND,-121.54,39.48
INLAND,-121.54,39.47
INLAND,-121.55,39.48
INLAND,-121.49,39.49
INLAND,-121.52,39.5
INLAND,-121.52,39.49
INLAND,-121.52,39.48
INLAND,-121.55,39.45
INLAND,-121.53,39.44
INLAND,-121.55,39.44
INLAND,-121.52,39.43
INLAND,-121.46,39.4
INLAND,-121.39,39.39
INLAND,-121.54,39.33
INLAND,-121.59,39.39
INLAND,-121.67,39.37
INLAND,-121.65,39.35
INLAND,-121.67,39.34
INLAND,-121.65,39.32
INLAND,-121.69,39.36
INLAND,-121.7,39.37
INLAND,-121.7,39.36
INLAND,-121.74,39.38
INLAND,-121.8,39.33
INLAND,-121.71,39.42
INLAND,-121.71,39.41
INLAND,-121.75,39.4
INLAND,-121.79,39.48
INLAND,-120.46,38.15
INLAND,-120.55,38.12
INLAND,-120.56,38.09
INLAND,-120.55,38.07
INLAND,-120.54,38.07
INLAND,-120.67,37.97
INLAND,-120.46,38.09
INLAND,-120.79,38.24
INLAND,-120.9,38.2
INLAND,-120.88,38.16
INLAND,-120.91,38.11
INLAND,-120.76,38.12
INLAND,-120.65,38.28
INLAND,-120.72,38.24
INLAND,-120.67,38.19
INLAND,-120.57,38.2
INLAND,-120.43,38.25
INLAND,-120.56,38.39
INLAND,-120.54,38.41
INLAND,-120.42,38.42
INLAND,-120.41,38.33
INLAND,-120.55,38.31
INLAND,-120.57,38.35
INLAND,-120.36,38.21
INLAND,-120.34,38.23
INLAND,-120.33,38.26
INLAND,-120.34,38.25
INLAND,-120.37,38.23
INLAND,-120.37,38.25
INLAND,-120.27,38.29
INLAND,-120.27,38.31
INLAND,-120.19,38.42
INLAND,-121.91,39.03
INLAND,-122,38.99
INLAND,-122.13,39
INLAND,-121.99,39.15
INLAND,-122.04,39.22
INLAND,-122.08,39.25
INLAND,-122.33,39.1
INLAND,-122.2,39.15
INLAND,-122.09,39.13
INLAND,-122.05,39.34
INLAND,-122.17,39.31
INLAND,-122.51,39.3
INLAND,-122.01,39.21
INLAND,-121.96,39.3
INLAND,-121.65,38.03
INLAND,-121.63,38.03
INLAND,-121.63,38.04
INLAND,-121.73,38
INLAND,-121.72,38
INLAND,-121.72,37.98
INLAND,-121.68,37.98
INLAND,-121.7,37.98
INLAND,-121.71,37.99
INLAND,-121.67,37.99
INLAND,-121.68,37.93
INLAND,-121.7,37.94
INLAND,-121.69,37.95
INLAND,-121.7,37.96
INLAND,-121.66,37.93
INLAND,-121.7,37.91
INLAND,-121.7,37.93
INLAND,-121.74,37.95
INLAND,-121.6,37.91
INLAND,-121.6,37.9
INLAND,-121.61,37.86
INLAND,-121.64,37.85
INLAND,-121.8,38.01
INLAND,-121.81,38.01
INLAND,-121.82,38.02
INLAND,-121.82,38.01
INLAND,-121.84,38.02
INLAND,-121.78,38.01
INLAND,-121.79,38.01
INLAND,-121.79,38
INLAND,-121.78,38
INLAND,-121.77,38.01
INLAND,-121.81,37.99
INLAND,-121.82,37.98
INLAND,-121.82,38
INLAND,-121.81,38
INLAND,-121.85,38
INLAND,-121.83,38
INLAND,-121.83,37.99
INLAND,-121.84,37.99
INLAND,-121.79,37.99
INLAND,-121.8,38
INLAND,-121.8,37.99
INLAND,-121.77,37.99
INLAND,-121.88,38.03
INLAND,-121.9,38.04
INLAND,-121.86,38.04
INLAND,-121.87,38.02
INLAND,-121.9,38.03
INLAND,-121.88,38.02
INLAND,-121.89,38.02
INLAND,-121.9,38.02
INLAND,-121.88,38
INLAND,-121.88,38.01
INLAND,-121.89,38.01
INLAND,-121.86,38
INLAND,-121.89,37.99
INLAND,-121.88,37.99
INLAND,-121.87,38
INLAND,-121.87,37.99
INLAND,-121.9,38.01
INLAND,-121.92,38.02
INLAND,-121.9,38
INLAND,-121.92,38.01
INLAND,-121.93,38.01
INLAND,-121.93,38.02
INLAND,-121.95,38.03
INLAND,-121.94,38.03
INLAND,-121.96,38.02
INLAND,-121.95,38.02
INLAND,-121.94,38.02
INLAND,-121.92,38.03
INLAND,-121.91,38.02
INLAND,-121.97,38.04
INLAND,-121.97,38.03
INLAND,-121.98,38.05
NEAR BAY,-122.02,38.02
INLAND,-122,38.03
NEAR BAY,-122.14,38.02
NEAR BAY,-122.14,38.03
NEAR BAY,-122.13,38.02
NEAR BAY,-122.13,38.01
NEAR BAY,-122.14,38.01
NEAR BAY,-122.13,38
NEAR BAY,-122.16,38.02
NEAR BAY,-122.11,38.01
NEAR BAY,-122.12,38
NEAR BAY,-122.12,38.01
NEAR BAY,-122.09,38.02
NEAR BAY,-122.1,38.02
NEAR BAY,-122.07,38
NEAR BAY,-122.09,38
NEAR BAY,-122.11,38
NEAR BAY,-122.08,37.99
NEAR BAY,-122.09,37.99
NEAR BAY,-122.11,37.99
NEAR BAY,-122.08,37.97
NEAR BAY,-122.09,37.97
NEAR BAY,-122.11,37.98
NEAR BAY,-122.09,37.98
NEAR BAY,-122.12,37.99
NEAR BAY,-122.1,37.97
NEAR BAY,-122.1,37.96
NEAR BAY,-122.07,37.99
NEAR BAY,-122.07,37.98
NEAR BAY,-122.07,37.97
NEAR BAY,-122.07,37.96
NEAR BAY,-122.06,37.96
NEAR BAY,-122.08,37.96
NEAR BAY,-122.06,37.95
NEAR BAY,-122.07,37.95
NEAR BAY,-122.08,37.95
NEAR BAY,-122.05,37.95
NEAR BAY,-122.05,37.94
NEAR BAY,-122.06,37.94
NEAR BAY,-122.07,37.94
NEAR BAY,-122.08,37.93
NEAR BAY,-122.08,37.94
NEAR BAY,-122.09,37.95
NEAR BAY,-122.09,37.94
NEAR BAY,-122.04,38
NEAR BAY,-122.04,37.99
NEAR BAY,-122.05,37.97
NEAR BAY,-122.06,37.99
NEAR BAY,-122.05,38
NEAR BAY,-122.03,37.98
NEAR BAY,-122.04,37.97
NEAR BAY,-122.03,38
NEAR BAY,-122.03,38.01
NEAR BAY,-122.02,38
NEAR BAY,-122.03,37.99
NEAR BAY,-122.02,37.99
NEAR BAY,-122.01,37.98
INLAND,-122,37.98
INLAND,-122,37.97
NEAR BAY,-122.01,37.97
NEAR BAY,-122.02,37.98
INLAND,-122,37.99
INLAND,-121.99,37.98
INLAND,-121.99,37.97
NEAR BAY,-122.01,37.99
INLAND,-121.95,37.96
INLAND,-121.97,37.97
INLAND,-121.97,37.96
INLAND,-121.96,37.96
INLAND,-121.96,37.95
INLAND,-121.98,37.96
INLAND,-121.98,37.97
INLAND,-122,37.96
INLAND,-121.97,37.95
INLAND,-121.99,37.96
INLAND,-121.98,37.95
NEAR BAY,-122.02,37.97
NEAR BAY,-122.03,37.97
NEAR BAY,-122.04,37.96
NEAR BAY,-122.05,37.96
NEAR BAY,-122.01,37.95
NEAR BAY,-122.02,37.96
NEAR BAY,-122.03,37.96
NEAR BAY,-122.03,37.95
NEAR BAY,-122.02,37.95
NEAR BAY,-122.02,37.94
NEAR BAY,-122.01,37.94
INLAND,-122,37.95
NEAR BAY,-122.01,37.93
NEAR BAY,-122.04,37.95
NEAR BAY,-122.04,37.94
NEAR BAY,-122.03,37.94
NEAR BAY,-122.03,37.93
NEAR BAY,-122.05,37.93
NEAR BAY,-122.05,37.92
NEAR BAY,-122.02,37.92
NEAR BAY,-122.03,37.92
NEAR BAY,-122.01,37.91
NEAR BAY,-122.03,37.91
NEAR BAY,-122.06,37.91
NEAR BAY,-122.06,37.9
NEAR BAY,-122.06,37.89
NEAR BAY,-122.07,37.93
NEAR BAY,-122.07,37.92
NEAR BAY,-122.08,37.92
NEAR BAY,-122.07,37.91
NEAR BAY,-122.08,37.9
NEAR BAY,-122.09,37.91
NEAR BAY,-122.07,37.89
NEAR BAY,-122.08,37.89
NEAR BAY,-122.06,37.88
NEAR BAY,-122.05,37.87
NEAR BAY,-122.05,37.9
NEAR BAY,-122.05,37.89
NEAR BAY,-122.04,37.89
NEAR BAY,-122.04,37.9
NEAR BAY,-122.02,37.89
NEAR BAY,-122.04,37.88
NEAR BAY,-122.03,37.86
NEAR BAY,-122.04,37.85
<1H OCEAN,-121.94,37.73
<1H OCEAN,-121.93,37.73
<1H OCEAN,-121.95,37.74
<1H OCEAN,-121.94,37.75
<1H OCEAN,-121.92,37.73
<1H OCEAN,-121.93,37.74
<1H OCEAN,-121.97,37.79
<1H OCEAN,-121.98,37.8
<1H OCEAN,-121.98,37.81
<1H OCEAN,-121.96,37.81
<1H OCEAN,-121.97,37.8
<1H OCEAN,-121.94,37.8
<1H OCEAN,-121.95,37.78
<1H OCEAN,-121.96,37.76
<1H OCEAN,-121.94,37.76
<1H OCEAN,-121.93,37.76
<1H OCEAN,-121.92,37.74
<1H OCEAN,-121.93,37.78
<1H OCEAN,-121.96,37.74
<1H OCEAN,-121.97,37.76
<1H OCEAN,-121.97,37.77
<1H OCEAN,-121.98,37.74
NEAR BAY,-122.02,37.84
NEAR BAY,-122.01,37.83
<1H OCEAN,-122,37.82
<1H OCEAN,-121.99,37.82
NEAR BAY,-122.03,37.83
<1H OCEAN,-121.99,37.77
<1H OCEAN,-121.99,37.81
NEAR BAY,-122.02,37.8
NEAR BAY,-122.03,37.87
NEAR BAY,-122.02,37.88
NEAR BAY,-122.02,37.87
<1H OCEAN,-122,37.86
INLAND,-121.97,37.87
INLAND,-121.96,37.84
